Smiles,Molecule Name,Standard Value,Standard Units
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)C)CCCCN)CCCNC(=N)N,,2,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1nnn(-c2ncnc3[nH]cnc23)c1)CCCCN)CCCNC(=N)N,,27000,nM
O=C(NCCCCCC(=O)N[C@@](C(=O)NCCCCCC(=O)N[C@@](C(=O)N[C@@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCCN)Nc1ccc(C(=O)N)cc1,,100000,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1cc(-c2nc(N)ncc2)ccc1)CCCCN)CCCNC(=N)N,,100000,nM
S(=O)(=O)(C)N1CCN(Cc2sc3c(N4CCOCC4)nc(-c4c5c([nH]nc5)ccc4)nc3c2)CC1,PICTILISIB,10000,nM
Clc1c(NS(=O)(=O)C)cc2OCCCCCOc3c(C#N)ncc(n3)NC(=O)Nc2c1,,10000,nM
Clc1c(OCCCO)cc2OCCCCCOc3c(C#N)ncc(n3)NC(=O)Nc2c1,,4890,nM
Oc1n(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc(O)c(Cc5ccccc5)n4)cc3)CC2)c2c(n1)cccc2,,50000,nM
Clc1c(-c2n(C)ncc2Cl)cc(C(=O)N[C@](CN)Cc2cc(F)ccc2)s1,AFURESERTIB,1.585,nM
O=C(NC)c1cc(-c2nc3nc(N4[C@@](C)COCC4)nc(N4[C@@](C)COCC4)c3cc2)ccc1,VISTUSERTIB,30000,nM
O=C(Nc1n[nH]c2C(C)(C)N(C(=O)C3CCN(C)CC3)Cc12)CC(C)C,PHA-793887,30000,nM
