Smiles,Molecule Name,Standard Value,Standard Units
O=C(Nc1ncccc1)Nc1ccccc1,,100000,nM
S(c1[nH]c2c(n1)cccc2)c1oc(C=NNC(=O)c2cc([N+](=O)[O-])ccc2)cc1,,10000,nM
O(CCCN)c1cc(C=Cc2ccncc2)cnc1,,10000,nM
Ic1ccc(Oc2c3c(sc(C4=NC(=O)ON4)c3)cnc2)cc1,,10000,nM
Brc1cc(NC(=O)Nc2ccc(-c3c4c(N)n[nH]c4c(C)cc3)cc2)ccc1,,10000,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c(N)ncc(-c4c[nH]nc4)c3sc2)cc1,,10000,nM
O=[N+]([O-])c1cc2c([nH]c3-c4c(NC(=O)Cc23)cccc4)cc1,ALSTERPAULLONE,10000,nM
Fc1c(NC(=O)c2cc(-c3c(-c4nc(Nc5ccc(N6CCN(CC)CC6)cc5)ncc4)n4c(n3)C=CC=C4)ccc2)cccc1,,10000,nM
O=C(Nc1cc(Nc2nc(-c3cnccc3)ccn2)c(C)cc1)c1ccc(CN2CCN(C)CC2)cc1,IMATINIB,10000,nM
FC(F)(F)c1cc(NC(=O)c2cc(Nc3nc(-c4cnccc4)ccn3)c(C)cc2)cc(-n2cc(C)nc2)c1,NILOTINIB,10000,nM
FC(F)(F)c1c([C@](Oc2c(C(=O)N)sc(-n3c4c(nc3)ccc(CN3CCN(C)CC3)c4)c2)C)cccc1,GSK-461364,10000,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)C)CCCCN)CCCNC(=N)N,,100000,nM
Oc1cc(-c2c(-c3cc(O)ccc3)nc3nc(N)nc(N)c3n2)ccc1,TG100-115,10000,nM
O=C1N(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc5c(n4)cc4[nH]cnc4c5)cc3)CC2)c2c(N1)cccc2,,2119,nM
O=C(N(C)[C@]1[C@@](OC)[C@]2(C)O[C@@](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1)c1ccccc1,MIDOSTAURIN,10000,nM
O(C[C@@]1CNCCC1)c1c2n(CC)c(-c3c(N)non3)nc2c(C#CC(O)(C)C)nc1,GSK-690693,9,nM
Oc1cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)ccc1,PI-103,10000,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(-c2cc(CCC)c3[nH]nc(C)c3c2)cnc1,,10000,nM
Ic1cc(Cc2nn(C(C)(C)C)c3ncnc(N)c23)ccc1,,10000,nM
Clc1c(NC(=O)c2sc(Nc3nc(C)nc(N4CCN(CCO)CC4)c3)nc2)c(C)ccc1,DASATINIB,10000,nM
O=C(Nc1noc(C(C)(C)C)c1)Nc1ccc(-c2nc3Sc4c(-n3c2)ccc(OCCN2CCOCC2)c4)cc1,QUIZARTINIB,10000,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1ccccc1)CCCCN)CCCNC(=N)N,,100000,nM
O=C1[C@@](c2c3c([nH]c2)cccc3)[C@](c2c3c4n(c2)CCCc4ccc3)C(=O)N1,TIVANTINIB,30000,nM
Brc1c(-c2c3c([nH]cc3)ncc2)sc(C(=O)N[C@](CN)Cc2ccc(OC)cc2)c1,,2,nM
Clc1c(F)cc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNC(C)C)cc1,,7,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@@](O)C[C@@](C)c34)CC2)CNC(C)C)cc1,,73,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4c3[C@](C=C)CC4)CC2)CNC(C)C)cc1,,1,nM
O=C(NCc1ccc(-n2c(-c3c(N)nccc3)nc3c2ncc(C2CCCC2)c3)cc1)c1ccccc1,,100000,nM
Fc1cc(C(=O)NCc2ccc(-n3c(-c4c(N)nccc4)nc4c3nc(-c3cnccc3)cc4)cc2)ccc1,,660,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1c(N)nc(c(-c2nc3c(C)n[nH]c3nc2)c1)-c1c(C)occ1,,2,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1c(N)nc(c(-c2ncc3[nH]nc(C)c3c2)c1)-c1c(C)occ1,,3,nM
Fc1ccc(C[C@@](N)C(=O)N2CCN(c3ncnc4c3cccc4)CC2)cc1,,1122,nM
Ic1cc(F)c(Nc2c(F)c(F)ccc2C(=O)NOC[C@](O)CO)cc1,MIRDAMETINIB,30000,nM
O=C(Nc1n[nH]c(CCc2cc(OC)cc(OC)c2)c1)c1ccc(N2CC(C)NC(C)C2)cc1,AZD-4547,30000,nM
Fc1c(NC(=O)Nc2n(-c3cc4c(nccc4)cc3)nc(C(C)(C)C)c2)ccc(Oc2cc(C(=O)NC)ncc2)c1,REBASTINIB,30000,nM
O=C(C=C)N1C[C@](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc23)CCC1,IBRUTINIB,30000,nM
Clc1cnc2[nH]cc(Cc3cnc(NCc4cnc(C(F)(F)F)cc4)cc3)c2c1,PEXIDARTINIB,30000,nM
O=C(NCc1ccccc1)Cc1ncc(-c2ccc(OCCN3CCOCC3)cc2)cc1,TIRBANIBULIN,30000,nM
Fc1c(OC2=NC=Nn3c2c(C)c(OC[C@](OC(=O)[C@@](N)C)C)c3)ccc2[nH]c(C)cc12,BRIVANIB ALANINATE,30000,nM
Clc1c(F)c(OC2CCC(C(=O)O)(Cc3nc(Nc4sccn4)ccc3)CC2)ccc1,MK-5108,30000,nM
BrC=1C(=O)N(c2c(C)ccc(C(=O)NC)c2)C(C)=CC=1OCc1c(F)cc(F)cc1,PH-797804,30000,nM
O=C(Nc1cc(Nc2scc(-c3cnccc3)n2)c(C)cc1)c1ccc(CN2CCN(C)CC2)cc1,MASITINIB,30000,nM
Clc1c(N)ncnc1C(=O)N[C@](C)c1sc(C(=O)Nc2ncc(Cl)c(C(F)(F)F)c2)cn1,TOVORAFENIB,30000,nM
Clc1ccc(Nc2nnc(Cc3ccncc3)c3c2cccc3)cc1,VATALANIB,30000,nM
O=C(NC)c1nn(C)c-2c1C(C)(C)Cc1c-2nc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,MILCICLIB,30000,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c(N)ncc(C#CCN(CC)CC)c3sc2)cc1,,10000,nM
Clc1c(CNC=2C(=O)C(=O)C=2Nc2cc3c(n(C(OC(C)(C)C)=O)nc3)cc2)ccc(Cl)c1,,10000,nM
O(C)c1ccc(CNC=2C(=O)C(=O)C=2Nc2cc3c([nH]nc3)cc2)cc1,,10000,nM
Clc1c(CNc2nc(NCC3CCC(CN)CC3)c([N+](=O)[O-])cn2)cccc1,,10000,nM
S(c1nc(Nc2n[nH]c(C)c2)cc(N2CCN(C)CC2)n1)c1ccc(NC(=O)C2CC2)cc1,TOZASERTIB,10000,nM
FC(F)(F)c1c(NC2CCC2)nc(Nc2cc3c(cc2)C2N(C(=O)CNC(=O)C)C3CC2)nc1,,30000,nM
O=C(NCC#N)c1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2)cc1,MOMELOTINIB,30000,nM
O=C1C(c2c3c(n(C)c2)cccc3)=C(c2c3c(n(C4CCN(Cc5ncccc5)CC4)c2)cccc3)C(=O)N1,ENZASTAURIN,1000,nM
FC(F)(F)c1c(F)cc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNCC2CC2)cc1,,2,nM
FC(F)(F)c1c(F)cc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNC(CO)(C)C)cc1,,2,nM
FC(F)(F)c1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CN)cc1,,27,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CN2CCC(F)CC2)cc1,,10,nM
Oc1n(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc(O)c(C(CC)C)n4)cc3)CC2)c2c(n1)cccc2,,50000,nM
Oc1n(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc5c(n4)ccc(-c4nn(C)nn4)c5)cc3)CC2)c2c(n1)cccc2,,50000,nM
Fc1c(F)cc2nc(/C=C/C(=O)C=3C(=O)Nc4c(C=3c3ccc(F)cc3)cc(F)cc4)[nH]c2c1,,1640,nM
O=C(N)c1c(Nc2cc(OC)c(N3CCC(N4CCN(C)CC4)CC3)cc2)nc(NC2CCOCC2)c(CC)n1,GILTERITINIB,30000,nM
Clc1c(OCc2ncccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,NERATINIB,10000,nM
O=C(NC(C)c1cnccc1)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,,4260,nM
O=C(NC(C)c1ccccc1)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,,582,nM
Fc1c(NC(=O)C2(C(=O)Nc3ccc(F)cc3)CC2)ccc(Oc2cc(NC(=O)N3CCC(N4CCN(C)CC4)CC3)ncc2)c1,GOLVATINIB,30000,nM
N(Cc1onc(C(C)C)c1)c1nc(Nc2n[nH]c(C3CC3)c2)cc(N2CCN(C)CC2)n1,XL-228,30000,nM
S(=O)(=O)(N)c1c(C)ccc(Nc2nc(N(C)c3cc4nn(C)c(C)c4cc3)ccn2)c1,PAZOPANIB,30000,nM
S(=O)(=O)(N(C[C@]1OCCOC1)C)Nc1cc2C(=O)c3c(ncc(-c4cn(C)nc4)c3)C=Cc2cc1,MK-2461,30000,nM
Fc1c(Oc2c3c(ncc2)cc(OCCCN2CCOCC2)c(OC)c3)ccc(NC(=O)C2(C(=O)Nc3ccc(F)cc3)CC2)c1,FORETINIB,30000,nM
O(CC1CCNCC1)c1c2n(CC)c(-c3c(N)non3)nc2c(C#CC(O)(C)C)nc1,GSK-554170A,40,nM
O=C1C(=O)C(Nc2nc(Nc3ccc(-c4ccncc4)cc3)ncc2)=C1NC(C)(C)C,,9000,nM
O=C(Nc1n(-c2ccc(C)cc2)nc(C(C)(C)C)c1)Nc1c2c(c(OCCN3CCOCC3)cc1)cccc2,DORAMAPIMOD,10000,nM
Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCN2CCOCC2)c3)c1,CANERTINIB,10000,nM
Clc1c(NC(=O)c2sc(Nc3nc(C)nc(N4CCN(CCO)CC4)c3)nc2)c(C)ccc1,DASATINIB,10000,nM
Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCN2CCOCC2)c(OC)c3)c1,GEFITINIB,10000,nM
Clc1c(c(Cl)ccc1)C=1C(=O)N=CN2N=C(Sc3c(F)cc(F)cc3)C=CC=12,NEFLAMAPIMOD,10000,nM
O=C(NC1CCN(C)CC1)c1cc(OC)c(Nc2nc3N([C@](CC)C(=O)N(C)c3cn2)C2CCCC2)cc1,BI-2536,30000,nM
Clc1ccc([C@@](NC(=O)C2(N)CCN(c3nc[nH]c-4nccc3-4)CC2)CCO)cc1,CAPIVASERTIB,30000,nM
FC(F)(F)C(C)(C)c1onc(NC(=O)Nc2cc(Oc3ncnc4c3cc(OC)c(OC)c4)ccc2)c1,CEP-32496,30000,nM
OC[C@](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)CC,SELICICLIB,30000,nM
FC(F)(F)c1c(CN2C[C@@](N(C)C)CC2)ccc(C(=O)Nc2cc(Nc3nc(-c4cncnc4)ccn3)c(C)cc2)c1,BAFETINIB,30000,nM
O=C([C@](OC)c1ccccc1)N1Cc2c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)n[nH]c2C1,DANUSERTIB,30000,nM
O=C(OC)[C@]1(O)[C@]2(C)O[C@@](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1,K-252A,30000,nM
O=C(NN=Cc1ccncc1)c1c(n(-c2c(N)non2)nn1)-c1ccccc1,,10000,nM
Fc1c(NC(=O)Nc2ccc(-c3c4c(N)n[nH]c4ccc3)cc2)cc(C(=O)O)cc1,,10000,nM
Clc1cc2C(c3c(F)cccc3F)=NCc3c(nc(Nc4ccc(C(=O)O)cc4)nc3)-c2cc1,MLN-8054,10000,nM
O(Cc1ccccc1)c1cc(-c2nc(C3CC(CN4CCCC4)C3)n3c2C(N)=NC=C3)ccc1,,10000,nM
Fc1c(C(=O)NC(CO)Cc2ccccc2)ccc(-c2ccncc2)c1,,10000,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1c(N)nc(c(-c2cnc3[nH]nc(C)c3c2)c1)-c1c(C)occ1,,2,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(/C=C/c2ccncc2)cnc1,,354,nM
Clc1c(CCNC(=O)c2sc(-c3nc(N(C)C)ncc3)cc2)ccc(Cl)c1,,25000,nM
Fc1ccc(COC(=O)Nc2sc(-c3nc(NC)ncc3)cc2)cc1,,7400,nM
Fc1cc(CNC(=O)Nc2n(-c3ccc(C)cc3)nc(C(C)(C)C)c2)c(Oc2cc3c(n(CCO)nc3)cc2)cc1,PEXMETINIB,30000,nM
Clc1ccc(-c2cnc3[nH]cc(C(=O)c4c(F)c(NS(=O)(=O)CCC)ccc4F)c3c2)cc1,VEMURAFENIB,30000,nM
FC(F)(c1n2N=C(c3cn(C)nc3)C=Cc2nn1)c1cc2c(nccc2)cc1,JNJ-38877605,30000,nM
O=C1/C(=C/c2cc3c(-c4ccncc4)ccnc3cc2)/SC(=O)N1,GSK-1059615,30000,nM
S(=O)(=O)(C)c1ccc(Nc2nc(-c3n(C(C)C)c(C)nc3)ccn2)cc1,AZD-5438,30000,nM
O=C(NCC(c1ccccc1)c1ccccc1)c1sc(-c2nc(NC)ncc2)cc1,,25000,nM
Fc1ccc(CCC(=O)Nc2sc(-c3nc(NC)ncc3)cc2)cc1,,2300,nM
Clc1c(C(CNC(=O)c2sc(-c3nc(NC)ncc3)cc2)C)ccc(Cl)c1,,660,nM
Clc1c([C@](N)CNC(=O)c2sc(-c3nc(NC)ncc3)cc2)ccc(Cl)c1,,2800,nM
O=C(N[C@@](C(=O)N[C@@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)[C@](NC(=O)[C@](NC(=O)[C@](NC(=O)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1sc(-c2nc(N)ncc2)cc1)CCCCN)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N,,42,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1cc(-c2ccncc2)ccc1)CCCCN)CCCNC(=N)N,,100000,nM
Clc1cnc2[nH]cc(C(=O)c3c(F)c(NS(=O)(=O)CCC)ccc3F)c2c1,PLX-4720,10000,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4C(F)(F)C[C@@](C)c34)CC2)CNC(C)C)cc1,,4160,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4c3[C@](CO)CC4)CC2)CNC(C)C)cc1,,83,nM
Brc1cc(F)c(/N=C/2\N=CNc3c\2cc(OC)c(OCC2CCN(C)CC2)c3)cc1,VANDETANIB,10000,nM
Fc1cc(NC(=O)Cc2[nH]nc(Nc3ncnc4c3ccc(OCCCN(CCO)CC)c4)c2)ccc1,AZD-1152-HQPA,10000,nM
Clc1cc(NS(=O)(=O)C)c(F)c(-c2c(-c3nc(NC[C@@](NC(=O)OC)C)ncc3)cn(C(C)C)n2)c1,ENCORAFENIB,30000,nM
O=C1NCc2c3c4n([C@]5(C)[C@](OC)[C@](NC)C[C@@](O5)n5c4c(c4c5cccc4)c12)c1c3cccc1,STAUROSPORINE,3.75,nM
NC(C)(C)c1ccc(-c2c(-c3ccccc3)nc3c(n2)cccc3)cc1,,50000,nM
Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(CNCCS(=O)(=O)C)cc2)cc3)c1,LAPATINIB,10000,nM
O=C(Nc1cc(Oc2ncc3nc(n(CC)c3c2)-c2c(N)non2)ccc1)c1ccc(OCCN2CCOCC2)cc1,GSK-269962A,1510,nM
O=C(N1C[C@@](N)CC1)c1c2n(CC)c(-c3c(N)non3)nc2cnc1,,1290,nM
O=C(NC(C)c1cc(OC)ccc1)c1c(NCCCN)cc(-c2ccncc2)cc1,,3162.28,nM
O=C1C(=O)C(Nc2ccncc2)=C1NCc1ccc(C)cc1,,10000,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c([nH]nc3)ccc2)cc1,,10000,nM
O=C(Nc1ccc(-c2c3c(N)n[nH]c3ccc2)cc1)Nc1ccccc1,,10000,nM
O=C(N1CC(O)CCC1)c1noc(-c2cc3c([nH]nc3)cc2)c1,,10000,nM
FC(F)(F)c1nc(NC(=O)Nc2c3c(ncc2)cc(OC)cc3)ccc1,,10000,nM
O=C(N)c1cc(-c2cnc3[nH]cc(-c4ccccc4)c3c2)ccc1,,10000,nM
FC(F)(F)c1c(NC2CCC2)nc(Nc2cc3c(cc2)C2N(C(=O)CNC(=O)C)C3CC2)nc1,,10000,nM
Clc1c(Nc2nc(c(C)cn2)-c2cc(C(=O)N[C@](CO)c3cc(Cl)ccc3)[nH]c2)ccc(F)c1,,4000,nM
O=C(NC1CCNCC1)c1c2n(CC)c(-c3c(N)non3)nc2cnc1,,2290,nM
O=C(N1CCNCC1)c1c2n(CC)c(-c3c(N)non3)nc2cnc1,,1549,nM
C(N1CCC(c2n[nH]c(-c3ccncc3)c2)CC1)c1ccc(-c2c(-c3ccccc3)nc3c(n2)cccc3)cc1,,11280,nM
O(C)c1c(OC)cc2ncnc(Nc3ccc(O)cc3)c2c1,WHI-P131,30000,nM
O=C1C(c2nc(N3CCN(C)CC3)nc3c2cccc3)=C(c2c3c([nH]c2)cccc3)C(=O)N1,SOTRASTAURIN,30000,nM
FC(F)(F)c1c([C@](Oc2c(C(=O)N)sc(-n3c4c(nc3)ccc(CN3CCN(C)CC3)c4)c2)C)cccc1,GSK-461364,30000,nM
Clc1c(F)cc([C@@](CO)N2C(=O)C=C(c3nc(Nc4n(C)ncc4)ncc3)C=C2)cc1,RAVOXERTINIB,30000,nM
Oc1n(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc5c(n4)cccc5)cc3)CC2)c2c(n1)cccc2,,50000,nM
S(=O)(=O)(NCCNCCCCCC(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N)CCCNC(=N)NC(=O)[C@](NC(=O)c1c(C=2c3c(OC=4C=2C=CC(N(C)C)C=4)cc(N(C)C)cc3)ccc(C(=O)O)c1)CCCCN)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)c1c2c(cncc2)ccc1,,16,nM
S(=O)(=O)(N(CCN)c1cc(-c2cc3c(cncc3)cc2)cnc1)c1c2c(c(N(C)C)ccc2)ccc1,,1258.9301,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c(N)ncc(C#CC(N)(CC)CC)c3sc2)cc1,,10000,nM
Fc1c(-c2c(-c3nc(NCC(O)(C)C)ncc3)n3c(C(C)=NC=C3)n2)ccc(F)c1,,10000,nM
Clc1nc(-c2c3c([nH]c2)nccc3)nc(NC2CCC(O)CC2)c1,,6309.5698,nM
O=C(Nc1nc(c(C#N)c(N)c1)-c1ccccc1)C,,9500,nM
Fc1cc(NC(=O)Nc2ccc(-c3c4c(N)ncc(-c5cn(CCO)nc5)c4sc3)cc2)ccc1,ILORASERTIB,10000,nM
Clc1c(C(F)(F)F)cc(NC(=O)Nc2c(F)cc(Oc3cc(C(=O)NC)ncc3)cc2)cc1,REGORAFENIB,30000,nM
Fc1cc(-c2sc(C(=O)N[C@@]3CNCCC3)c(NC(=O)N)c2)ccc1,AZD-7762,30000,nM
P(=O)(OCCN(CCCOc1cc2ncnc(Nc3n[nH]c(CC(=O)Nc4cc(F)ccc4)c3)c2cc1)CC)(O)O,BARASERTIB,30000,nM
O=C(N(C)[C@]1[C@@](OC)[C@]2(C)O[C@@](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1)c1ccccc1,MIDOSTAURIN,30000,nM
O(C(C)C)C=1C(=Cc2c3c([nH]c2)cccc3)C(=O)NN=1,,10000,nM
BrC1=C(N)n2ncc(-c3cn(C)nc3)c2N=C1[C@]1CNCCC1,SCH-900776,30000,nM
O=C(N(C)C)Nc1ccc(-c2c(-c3c4c([nH]c(-c5cc(CN(C)C)ccc5)c4)ncc3)cn(CC)n2)cc1,GSK-1070916,3289,nM
Nc1ncnc2n(C(C)C)nc(-c3cc4nc(C)oc4cc3)c12,,30000,nM
Clc1c(Nc2ncnc3c2c(OC2CCOCC2)cc(OCCN2CCN(C)CC2)c3)c2OCOc2cc1,SARACATINIB,30000,nM
O=C(Nc1cc(Nc2nc(-c3cnccc3)ccn2)c(C)cc1)c1ccc(CN2CCN(C)CC2)cc1,IMATINIB,30000,nM
O=C1N[C@@](O)c2c3c4n([C@]5(C)[C@](OC)[C@](NC)C[C@@](O5)n5c4c(c4c5cccc4)c12)c1c3cccc1,UCN-01,30000,nM
Clc1c(C)cc(OCC2CC(C(=O)O)CC2)c(NC(=O)Nc2ncc(C#N)nc2)c1,,10000,nM
Fc1ccc(NC(=O)C2(C(=O)Nc3ccc(Oc4c5c(ncc4)cc(OC)c(OC)c5)cc3)CC2)cc1,CABOZANTINIB,30000,nM
O(CCN1CCCC1)c1c2cc(/N=C\3/N=CC=C(N/3)c3cc(ccc3)COC/C=C/COC2)cc1,PACRITINIB,30000,nM
Clc1c(N)nccc1Oc1c(F)cc(NC(=O)C=2C(=O)N(c3ccc(F)cc3)C=CC=2OCC)cc1,BMS-777607,30000,nM
S(=O)(=O)(C)c1ccc(CNC(=O)c2nc(OCC)c(C#N)c(N)c2)cc1,,10000,nM
O=C(Nc1n(-c2ccc(C)cc2)nc(C(C)(C)C)c1)Nc1c2c(c(OCCN3CCOCC3)cc1)cccc2,DORAMAPIMOD,10000,nM
Clc1c(NCc2scnc2)cc2OCCCCOc3c(C#N)ncc(n3)NC(=O)Nc2c1,,7943.2798,nM
S(=O)(=O)(Nc1ccc(-c2cc3c(N)n[nH]c3cc2)cc1)CCC,,1995.26,nM
S(=O)(=O)(N1C(C)CNCCC1)c1c2c(C)cncc2ccc1,,3162.28,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1c(N)nc(c(-c2cc3c(C)n[nH]c3cc2)c1)-c1c(C)occ1,,1,nM
Clc1c(C[C@](N)COc2c(N)nc(c(-c3nc4c(C)n[nH]c4nc3)c2)-c2c(C)occ2)c2c([nH]1)cccc2,,2,nM
O=C(N1[C@](C)CN(c2nc(c(C#N)nc2)-c2cn(C)nc2)CC1)[C@]1[C@](C)C1,,100000,nM
FC(F)(F)c1nc(NC(=O)Nc2c3c(ncc2)ccc(C)c3)ccc1,,10000,nM
Ic1nn(C2CCC(O)CC2)c2ncnc(N)c12,,10000,nM
C(C)(C)(C)c1cc2[nH]c(-c3n[nH]c4c3cccc4)nc2cc1,,10000,nM
Nc1n[nH]c2c1cc(-c1onc(CC(C)C)c1)cc2,,7943.2798,nM
Clc1c(C(=O)Nc2c(C(=O)NC3CCNCC3)n[nH]c2)c(Cl)ccc1,AT-7519,30000,nM
O=C(NC)c1c2c(cc(Oc3c4c(ncc3)cc(OCC3(N)CC3)c(OC)c4)cc2)ccc1,LUCITANIB,30000,nM
O=C(NC1CCC(N2CCN(CC3CC3)CC2)CC1)c1cc(OC)c(Nc2nc3N(C(C)C)[C@](CC)C(=O)N(C)c3cn2)cc1,VOLASERTIB,30000,nM
Brc1cc(F)c(COc2c(C(=O)N)c(NC(=O)NCCCCN3CCCC3)sn2)c(F)c1,OSI-632,30000,nM
O=C(Nc1ccc(C(=O)N2CCC(N(C)C)CC2)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,GEDATOLISIB,30000,nM
O=C1N(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc5c(n4)cc(-c4n[nH]nn4)cc5)cc3)CC2)c2c(N1)cccc2,,1613,nM
O=C(NCc1ccc(-n2c(-c3c(N)nccc3)nc3c2nccc3)cc1)c1ccccc1,,24000,nM
O=C(Nc1ccccc1)Cc1ccc(-n2c(-c3c(N)nccc3)nc3c2nccc3)cc1,,22000,nM
P(=O)(OCN1C(=O)C(C)(C)Oc2c1nc(Nc1c(F)cnc(Nc3cc(OC)c(OC)c(OC)c3)n1)cc2)(O)O,FOSTAMATINIB,30000,nM
Clc1c(O)c(Cl)cc(-c2nc3c(NC4CCC(CN(C)C)CC4)c(C(=O)C)cnc3cc2)c1,,30000,nM
Brc1cc(F)c(/N=C/2\N=CNc3c\2cc(OC)c(OCC2CCN(C)CC2)c3)cc1,VANDETANIB,30000,nM
O=C(C)C=1C(=O)N(C2CCCC2)c2nc(Nc3ncc(N4CCNCC4)cc3)ncc2C=1C,PALBOCICLIB,30000,nM
FC(F)(F)c1c(-c2nc(N3CCOCC3)nc(N3CCOCC3)c2)cnc(N)c1,BUPARLISIB,30000,nM
O=C(NCc1ccc(-n2c(-c3c(N)nccc3)nc3c2nc(-c2cnccc2)cc3)cc1)c1ccccc1,,370,nM
O=C(Nc1cc(-c2nc3n(c(-c4c(N)nccc4)nc3cc2)-c2ccc(CNC(=O)c3ccccc3)cc2)ccc1)C,,170,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1sc(-c2nc(N)ncc2)cc1)CCCCN)CCCNC(=N)N,,100000,nM
O=C(N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)[C@](NC(=O)[C@](NC(=O)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1sc(-c2nc(N)ncc2)cc1)CCCCN)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N,,100000,nM
Clc1c(CCNC(=O)c2sc(-c3nc(NC)ncc3)cc2)ccc(Cl)c1,,990,nM
O=C(N)c1sc2n(C)nc(C)c2c1,,100000,nM
O=C(C)c1cc(-c2cnc3[nH]ccc3c2)ccc1,,10000,nM
Fc1ccc(-c2c(-c3nc(NCC(CO)(C)C)ncc3)n3c(C(OCC(C)C)=NC=C3)n2)cc1,,10000,nM
Fc1c(-c2c(C3=Nn4c(C(C)C)nnc4C=C3)n3c(n2)CCC3)ccc(F)c1,,10000,nM
O(CC#Cc1scc(-c2n[nH]c3-c4c(cc(CN5CCN(C)CC5)cc4)Cc23)c1)CC1CC1,,10000,nM
Clc1c(OC)cc(Nc2c(C#N)cnc3c2cc(OC)c(OCCCN2CCN(C)CC2)c3)c(Cl)c1,BOSUTINIB,10000,nM
O=C(Nc1scc(-c2ccncc2)n1)Cc1cc(OCCCN2CCNCC2)ccc1,,2500,nM
